date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,currency,change,changePercent,label,changeOverTime
2003-07-18,24.35,25.73,25.77,23.08,2693057,1.75,1.85,1.83,1.68,36530515,,-0.0839,-4.6445,"Jul 18, 03",0.27423
2003-07-21,24.18,24.42,24.44,23.1,803041,1.7,1.75,1.79,1.64,10972796,,-0.0463,-2.6589,"Jul 21, 03",0.25074
2003-07-22,25.6,23.57,25.09,23.77,843946,1.78,1.69,1.87,1.71,11868792,,0.0854,5.1078,"Jul 22, 03",0.314178
2003-07-23,27.01,25.55,26.91,25.82,1592628,1.98,1.87,1.93,1.83,22548201,,0.1421,8.0145,"Jul 23, 03",0.421118
2003-07-24,26.9,27.5,28.16,26.9,775879,1.94,2.0,2.02,1.94,11138559,,-0.0198,-1.0235,"Jul 24, 03",0.40851
2003-07-25,28.18,27.19,28.1,26.94,406939,1.95,1.88,2.02,1.91,5789446,,0.0462,2.3825,"Jul 25, 03",0.43016
2003-07-28,27.41,26.56,28.22,27.49,539200,1.9,1.9,2.0,1.96,7691879,,-0.0297,-1.4942,"Jul 28, 03",0.412524
2003-07-29,27.37,27.85,27.0,26.79,393927,1.91,1.93,2.02,1.88,5566723,,0.005,0.266,"Jul 29, 03",0.420092
2003-07-30,26.9,27.14,26.84,26.77,390747,1.87,2.0,1.98,1.86,5490888,,-0.0534,-2.79,"Jul 30, 03",0.374752
2003-07-31,26.6,27.13,26.8,25.2,638388,1.96,1.91,1.91,1.79,8855881,,0.0177,0.979,"Jul 31, 03",0.397954
2003-08-01,25.63,26.21,27.0,25.84,463527,1.82,1.86,1.94,1.86,6600562,,-0.0936,-4.8346,"Aug 1, 03",0.319903
2003-08-04,25.61,25.54,26.02,24.3,266865,1.85,1.8,1.8,1.75,3790457,,0.0,0.0,"Aug 4, 03",0.326328
2003-08-05,24.46,26.3,25.98,25.32,229000,1.82,1.8,1.85,1.79,3153023,,-0.046,-2.6903,"Aug 5, 03",0.289225
2003-08-06,23.93,25.2,25.2,23.63,589492,1.7,1.77,1.8,1.7,8273624,,-0.0702,-3.9588,"Aug 6, 03",0.238402
2003-08-07,23.14,23.53,23.55,23.5,566821,1.72,1.71,1.73,1.62,8012506,,-0.0195,-1.1784,"Aug 7, 03",0.227014
2003-08-08,24.17,24.0,24.85,23.09,250208,1.76,1.67,1.7,1.73,3499627,,0.0293,1.7446,"Aug 8, 03",0.250786
2003-08-11,25.26,24.48,26.01,23.63,462903,1.82,1.7,1.8,1.75,6524695,,0.099,5.7755,"Aug 11, 03",0.31291
2003-08-12,25.67,25.42,25.0,24.28,224773,1.82,1.86,1.87,1.78,3120229,,0.0036,0.2009,"Aug 12, 03",0.323917
2003-08-13,24.63,25.99,26.36,24.75,326071,1.73,1.79,1.9,1.79,4598650,,-0.0474,-2.679,"Aug 13, 03",0.291246
2003-08-14,25.23,0.0,0.0,0.0,0,1.79,0.0,0.0,0.0,0,,0.0,0.0,"Aug 14, 03",0.288121
2003-08-15,25.52,26.02,26.08,24.9,373931,1.81,1.87,1.9,1.85,5163302,,0.058,3.3133,"Aug 15, 03",0.323459
2003-08-18,25.64,26.0,26.0,24.96,466044,1.86,1.81,1.8,1.76,6452450,,-0.01,-0.5829,"Aug 18, 03",0.31205
2003-08-19,26.87,26.14,27.16,25.73,645390,1.89,1.88,1.86,1.82,9116768,,0.0729,4.0096,"Aug 19, 03",0.375092
2003-08-20,27.74,26.88,28.86,26.01,2170073,2.05,1.87,2.16,1.91,30445024,,0.1398,7.3098,"Aug 20, 03",0.47029
2003-08-21,29.66,28.57,30.86,28.92,1446369,2.07,2.05,2.22,2.04,19966375,,0.0796,4.0997,"Aug 21, 03",0.521709
2003-08-22,29.7,29.33,30.35,29.4,625310,2.1,2.13,2.1,2.11,8681383,,-0.0023,-0.1098,"Aug 22, 03",0.5444
2003-08-25,29.12,29.77,28.9,28.35,502309,2.01,2.05,2.11,1.95,7101752,,-0.0547,-2.636,"Aug 25, 03",0.50019
2003-08-26,29.99,28.7,31.13,28.0,956926,2.15,2.03,2.23,2.01,13657486,,0.1267,6.139,"Aug 26, 03",0.574144
2003-08-27,32.79,31.0,33.4,31.15,2478131,2.33,2.21,2.46,2.24,33599470,,0.1933,8.7125,"Aug 27, 03",0.707474
2003-08-28,32.59,34.5,33.0,31.06,993303,2.33,2.42,2.41,2.28,14190681,,-0.0532,-2.2931,"Aug 28, 03",0.672409
2003-08-29,33.75,32.0,34.03,31.68,822700,2.39,2.25,2.52,2.24,11207711,,0.1235,5.3644,"Aug 29, 03",0.762051
2003-09-02,35.15,34.27,36.29,32.8,1951332,2.5,2.45,2.51,2.39,27479367,,0.024,0.9779,"Sep 2, 03",0.784888
2003-09-03,34.2,35.37,35.49,34.45,1734011,2.5,2.51,2.62,2.47,24322408,,-0.025,-1.0607,"Sep 3, 03",0.775722
2003-09-04,34.59,34.1,34.5,33.9,601541,2.49,2.4,2.52,2.35,8510654,,0.0141,0.5883,"Sep 4, 03",0.7918
2003-09-05,36.23,34.9,36.0,33.7,1491655,2.52,2.44,2.59,2.47,21215252,,0.0782,3.2282,"Sep 5, 03",0.86032
2003-09-08,35.61,35.76,36.6,35.0,1229205,2.52,2.49,2.55,2.51,17468468,,0.0126,0.5074,"Sep 8, 03",0.847365
2003-09-09,36.96,36.14,36.85,35.54,778452,2.57,2.57,2.7,2.48,11177342,,0.0583,2.3093,"Sep 9, 03",0.888525
2003-09-10,34.43,36.1,36.99,35.0,777874,2.52,2.57,2.61,2.4,11068786,,-0.1198,-4.5803,"Sep 10, 03",0.798882
2003-09-11,33.94,35.0,35.74,33.53,1320521,2.45,2.49,2.48,2.29,18194596,,-0.0778,-3.1977,"Sep 11, 03",0.768358
2003-09-12,36.06,33.65,35.03,32.9,1207837,2.52,2.41,2.59,2.36,16970674,,0.1243,5.3345,"Sep 12, 03",0.853349
2003-09-15,37.23,36.3,36.19,35.26,1326151,2.55,2.49,2.64,2.56,18117122,,0.0684,2.8198,"Sep 15, 03",0.899535
2003-09-16,36.6,37.67,38.87,35.96,1564781,2.57,2.76,2.69,2.6,22364308,,0.0282,1.1,"Sep 16, 03",0.90738
2003-09-17,36.19,36.6,38.61,36.92,827813,2.63,2.66,2.75,2.65,11205941,,-0.0111,-0.4291,"Sep 17, 03",0.893
2003-09-18,36.9,37.3,38.51,36.6,906263,2.61,2.71,2.72,2.64,12689125,,0.0567,2.2136,"Sep 18, 03",0.962228
2003-09-19,37.0,38.1,39.3,36.18,713556,2.68,2.67,2.76,2.65,9714097,,0.0334,1.3202,"Sep 19, 03",0.992198
2003-09-22,39.23,38.21,42.15,36.61,1661110,2.78,2.7,2.92,2.6,23008492,,0.1284,4.9795,"Sep 22, 03",1.096299
2003-09-23,39.89,41.08,41.0,39.02,753332,2.9,2.9,2.84,2.74,10450626,,0.0246,0.906,"Sep 23, 03",1.076373
2003-09-24,39.0,39.82,41.14,38.17,534741,2.76,2.93,2.87,2.71,7743347,,-0.0834,-3.0145,"Sep 24, 03",1.052248
2003-09-25,36.04,38.98,39.73,35.38,1502402,2.59,2.83,2.87,2.44,21058572,,-0.2299,-8.7463,"Sep 25, 03",0.83763
2003-09-26,34.05,34.2,36.19,34.82,883255,2.39,2.5,2.65,2.44,12459144,,-0.0957,-3.8756,"Sep 26, 03",0.7981
2003-09-29,34.3,34.01,34.4,31.73,2921676,2.4,2.33,2.44,2.27,41016537,,-0.0007,-0.0295,"Sep 29, 03",0.797155
2003-09-30,35.14,34.33,36.74,34.05,1501364,2.4,2.5,2.63,2.45,21113069,,0.0059,0.2475,"Sep 30, 03",0.805228
2003-10-01,35.24,33.7,36.65,35.0,1040835,2.52,2.43,2.65,2.47,14405525,,0.0694,2.8828,"Oct 1, 03",0.848963
2003-10-02,41.95,38.69,42.2,36.0,5467550,3.07,2.7,3.06,2.64,75772458,,0.4825,19.251,"Oct 2, 03",1.170447
2003-10-03,41.34,41.45,42.31,40.71,2641309,2.93,3.0,3.07,2.83,37937479,,-0.0599,-2.059,"Oct 3, 03",1.155973
2003-10-06,43.26,41.76,43.54,39.97,1364667,2.96,2.92,3.19,2.95,19075907,,0.0895,3.077,"Oct 6, 03",1.198144
2003-10-07,45.34,43.06,45.4,41.02,1609907,3.28,3.01,3.24,2.94,22561492,,0.1922,6.5607,"Oct 7, 03",1.384102
2003-10-08,44.0,46.31,45.73,42.54,1649458,3.16,3.2,3.23,3.0,22242494,,-0.076,-2.4807,"Oct 8, 03",1.301927
2003-10-09,43.32,44.94,46.3,43.12,1383099,3.13,3.21,3.34,3.1,19064688,,0.005,0.1708,"Oct 9, 03",1.286679
2003-10-10,44.77,43.6,46.61,43.6,755015,3.22,3.12,3.2,3.22,10445707,,0.1138,3.8114,"Oct 10, 03",1.375891
2003-10-13,48.13,45.6,49.05,45.7,1579902,3.37,3.31,3.46,3.22,21405582,,0.1571,5.0857,"Oct 13, 03",1.522697
2003-10-14,48.71,47.32,49.57,47.43,1737423,3.51,3.4,3.55,3.34,24651011,,0.0293,0.8384,"Oct 14, 03",1.49622
2003-10-15,46.6,48.9,50.0,46.49,2038519,3.25,3.4,3.57,3.25,28633272,,-0.19,-5.3741,"Oct 15, 03",1.361085
2003-10-16,52.97,46.89,54.89,47.32,9324767,3.9,3.28,3.96,3.24,126630402,,0.5346,16.1649,"Oct 16, 03",1.815977
2003-10-17,52.23,52.58,53.22,51.6,2800932,3.72,3.76,3.93,3.64,39670580,,0.02,0.56,"Oct 17, 03",1.781635
2003-10-20,54.76,53.18,58.76,51.21,4469221,4.03,3.64,4.08,3.7,62698804,,0.1956,5.113,"Oct 20, 03",1.89198
2003-10-21,56.0,57.15,57.0,55.1,2543387,3.89,4.07,4.0,3.87,36579497,,-0.0177,-0.459,"Oct 21, 03",1.899316
2003-10-22,54.63,54.3,56.3,53.81,1665894,3.78,3.85,4.05,3.89,23797476,,-0.1475,-3.8222,"Oct 22, 03",1.8126
2003-10-23,53.74,53.37,54.95,52.3,1677279,3.86,3.84,4.01,3.7,23240964,,-0.0231,-0.6209,"Oct 23, 03",1.835192
2003-10-24,54.19,53.2,55.44,52.7,1591710,3.79,3.8,3.9,3.66,21789274,,-0.01,-0.2698,"Oct 24, 03",1.797824
2003-10-27,54.23,51.93,55.51,53.8,1140630,3.85,3.71,3.99,3.69,16207418,,0.1304,3.4759,"Oct 27, 03",1.875534
2003-10-28,57.03,56.53,57.14,56.0,1628652,4.07,4.1,4.18,3.89,21967352,,0.1958,5.2358,"Oct 28, 03",1.980822
2003-10-29,60.0,58.5,61.7,57.6,1982411,4.26,4.19,4.35,4.07,28336631,,0.1845,4.6468,"Oct 29, 03",2.138262
2003-10-30,61.0,61.88,63.0,60.0,1945057,4.32,4.48,4.58,4.32,27101296,,-0.0538,-1.3002,"Oct 30, 03",2.13133
2003-10-31,57.4,60.78,59.44,57.63,1163604,4.22,4.3,4.36,4.19,16591291,,-0.0734,-1.805,"Oct 31, 03",2.095186
2003-11-03,61.25,60.14,60.0,58.6,1063652,4.27,4.3,4.36,4.13,14863029,,0.0857,2.058,"Nov 3, 03",2.086413
2003-11-04,59.9,59.76,61.13,58.94,1150960,4.41,4.32,4.38,4.27,16167312,,0.0831,1.9807,"Nov 4, 03",2.208371
2003-11-05,59.21,59.92,61.31,58.72,1297690,4.36,4.4,4.41,4.15,17692419,,-0.0637,-1.5313,"Nov 5, 03",2.174071
2003-11-06,52.05,55.7,59.48,50.92,8131362,3.71,3.98,4.06,3.67,114959943,,-0.5779,-13.5882,"Nov 6, 03",1.72855
2003-11-07,48.24,51.75,54.02,46.54,7718734,3.45,3.76,3.83,3.4,107899717,,-0.2832,-7.8881,"Nov 7, 03",1.477129
2003-11-10,47.6,48.36,48.36,46.56,3599491,3.48,3.5,3.45,3.28,50633251,,-0.02,-0.6234,"Nov 10, 03",1.485064
2003-11-11,48.44,48.91,48.57,47.49,1905857,3.43,3.39,3.45,3.43,26573610,,0.0312,0.9659,"Nov 11, 03",1.48761
2003-11-12,51.05,47.0,52.22,48.88,2538635,3.61,3.38,3.61,3.42,35786957,,0.231,6.8264,"Nov 12, 03",1.696722
2003-11-13,50.1,51.16,53.0,50.5,1756420,3.58,3.66,3.7,3.57,24169151,,-0.1269,-3.6232,"Nov 13, 03",1.61
2003-11-14,48.58,49.92,50.98,48.59,1396135,3.39,3.56,3.55,3.43,19249693,,-0.128,-3.6976,"Nov 14, 03",1.484131
2003-11-17,46.75,48.66,47.89,45.12,2339086,3.2,3.41,3.37,3.19,32728048,,-0.1511,-4.61,"Nov 17, 03",1.39137
2003-11-18,48.65,45.3,48.9,45.01,2837062,3.34,3.24,3.5,3.3,39486171,,0.1399,4.3699,"Nov 18, 03",1.457866
2003-11-19,46.88,47.7,49.05,45.9,1710003,3.33,3.48,3.5,3.35,23903340,,-0.0097,-0.2889,"Nov 19, 03",1.47024
2003-11-20,45.79,44.71,48.0,45.2,2174240,3.39,3.24,3.51,3.21,30098417,,-0.0639,-1.9322,"Nov 20, 03",1.457589
2003-11-21,47.21,46.92,49.0,46.37,1594986,3.28,3.48,3.42,3.3,23062822,,0.0066,0.2048,"Nov 21, 03",1.465482
2003-11-24,47.1,46.93,48.0,46.8,1018109,3.47,3.28,3.43,3.3,14661137,,0.0842,2.6197,"Nov 24, 03",1.49531
2003-11-25,48.41,49.22,50.3,47.32,1342246,3.5,3.48,3.56,3.41,19088953,,0.0889,2.5916,"Nov 25, 03",1.60651
2003-11-26,50.46,49.92,49.44,48.01,1042372,3.55,3.46,3.68,3.57,14321624,,0.0216,0.632,"Nov 26, 03",1.624168
2003-11-28,50.0,49.5,51.43,50.0,376175,3.7,3.59,3.65,3.46,5251904,,0.0517,1.4518,"Nov 28, 03",1.648865
2003-12-01,51.7,51.55,53.0,50.61,1335091,3.73,3.6,3.71,3.65,18602376,,0.1269,3.6195,"Dec 1, 03",1.739113
2003-12-02,52.2,52.89,53.82,52.0,1148736,3.82,3.7,3.8,3.6,16280277,,0.0148,0.4116,"Dec 2, 03",1.70609
2003-12-03,51.47,53.98,53.09,49.94,1323076,3.7,3.82,3.77,3.72,18377875,,-0.0822,-2.2624,"Dec 3, 03",1.697981
2003-12-04,49.6,50.51,52.84,47.9,2135620,3.58,3.63,3.63,3.49,29958989,,-0.1275,-3.6053,"Dec 4, 03",1.553749
2003-12-05,48.3,49.9,49.94,47.95,921554,3.44,3.5,3.47,3.47,12569733,,-0.0407,-1.1973,"Dec 5, 03",1.526104
2003-12-08,47.57,48.48,48.78,46.94,1507439,3.53,3.54,3.57,3.38,21033683,,-0.019,-0.5715,"Dec 8, 03",1.563187
2003-12-09,47.17,47.98,47.94,46.5,1099799,3.33,3.5,3.45,3.35,14746119,,-0.131,-3.8178,"Dec 9, 03",1.451701
2003-12-10,45.52,46.07,49.0,44.8,1866664,3.32,3.33,3.51,3.28,26771747,,-0.0285,-0.8975,"Dec 10, 03",1.405678
2003-12-11,47.72,45.83,48.8,45.0,1352255,3.48,3.31,3.42,3.29,18357673,,0.1728,5.4548,"Dec 11, 03",1.571927
2003-12-12,46.94,49.5,49.81,47.44,859566,3.5,3.47,3.55,3.4,12276756,,-0.047,-1.358,"Dec 12, 03",1.482472
2003-12-15,46.54,49.9,49.55,45.47,1071894,3.39,3.56,3.52,3.36,14675450,,-0.1097,-3.2518,"Dec 15, 03",1.454204
2003-12-16,46.5,47.13,45.67,45.85,1414001,3.3,3.34,3.28,3.19,19647184,,-0.0373,-1.1715,"Dec 16, 03",1.372167
2003-12-17,52.04,44.76,51.17,44.53,4779499,3.65,3.27,3.78,3.11,67145421,,0.408,12.8,"Dec 17, 03",1.675239
2003-12-18,53.01,51.23,52.8,52.07,3275073,3.69,3.74,3.7,3.68,44548994,,0.0486,1.4018,"Dec 18, 03",1.779623
2003-12-19,52.1,52.23,53.5,52.37,1338536,3.67,3.81,3.9,3.7,18212121,,-0.007,-0.1951,"Dec 19, 03",1.775883
2003-12-22,53.02,52.5,52.52,51.97,1386052,3.81,3.68,3.81,3.67,19036631,,0.0672,1.8279,"Dec 22, 03",1.741616
2003-12-23,57.24,52.48,56.77,51.5,2175928,3.96,3.8,4.06,3.66,29778411,,0.2142,5.8168,"Dec 23, 03",1.90654
2003-12-24,57.9,56.29,61.16,56.54,1971532,4.16,4.03,4.22,3.93,27722246,,0.1538,3.9579,"Dec 24, 03",2.102415
2003-12-26,59.6,58.9,59.61,56.8,859833,4.35,4.22,4.38,4.13,12390630,,0.0885,2.22,"Dec 26, 03",2.170989
2003-12-29,59.82,59.3,60.9,58.63,1202395,4.38,4.22,4.39,4.2,16346840,,0.008,0.19,"Dec 29, 03",2.11534
2003-12-30,56.87,59.11,60.86,56.52,1153494,4.12,4.35,4.37,4.16,16046581,,-0.1117,-2.6333,"Dec 30, 03",2.0264
